Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,559.140953983718,529.144909726945,407.616505242601,372.615894847401,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499,38972230,40099462,41128771,42239854
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,989798694036.45,962278543441.163,1005555866031.16,1041297568267.86,1068603622768.45
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1483.41565936888,1404.55453762636,1430.42477123168,1444.52296162055,1445.80112832401
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,667242986,685112979,702977106,720859132,739108306
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,836575592045.298,828172881287.314,861257182052.719,893851336757.184,923730781089.017
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1841.43611582242,1776.47413406784,1801.09277468254,1822.95546017158,1837.21171758696
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,454306063,466189102,478185907,490330870,502789511
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12967696312.7715,12539492342.004,13656576505.5665,14319794712.6268,14812273860.772
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4543.38771048312,4418.66087378292,4857.11194201819,5155.29085964151,5394.18241000709
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2837849,2811666,2777689,2745972
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,202300870249.603,192185826737.123,199488888153.133,206670488126.993,215143978140.214
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4737.12977369971,4422.97947188314,4515.57399918347,4602.57560847786,4717.39932878428
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368,43451666,44177969,44903225,45606480
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,628818320.610687,656560305.343511,651422900.763359,662725190.839695,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13288.3565565116,14214.6464600557,14464.8140504798,14969.0599426218,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321,46189,45035,44273,43914
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3008967036.98289,2672445970.88657,2893916907.5355,3170685261.18363,3216475797.74249
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39413.790877787,34394.4140397243,36616.1007608814,39720.951858885,40161.7695253033
Andorra,AND,"Population, total",SP.POP.TOTL,76343,77700,79034,79824,80088
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,86262880684.9456,81399194250.7301,82375341952.5616,84884003095.5114,85610610955.5435
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2666.25391548367,2435.02485427339,2387.42990701717,2385.11995566245,2333.71877506136
Angola,AGO,"Population, total",SP.POP.TOTL,32353588,33428486,34503774,35588987,36684202
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1691054300.06629,1371776497.48049,1484148566.07947,1625386015.56633,1688158621.57823
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18357.6788222183,14803.7695057464,15921.095120946,17335.047039518,17902.3799187494
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117,92664,93219,93763,94298
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2791881604204.51,2641092659011.14,2776228048075.37,2937057964572.98,2964366493989.14
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6324.08975235336,5879.17698534988,6081.27425507157,6320.536509978,6263.55667122628
Arab World,ARB,"Population, total",SP.POP.TOTL,441467739,449228296,456520777,464684914,473272080
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,571450737224.442,514874343768.066,570058627079.249,598312841626.662,589035991825.944
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12716.2242038544,11346.6521128461,12444.3182669731,12940.7384352157,12625.4695509096
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712,45376763,45808747,46234830,46654581
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15463065783.759
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4561.96779894751,4256.13122785453,4526.59748878641,5116.2057562944,5566.31849291352
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602,2805608,2790974,2780469,2777970
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3227066765.54543,2453132865.8745,3131163015.59374,3458629980.61776,..
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,30317.6073875484,23015.7420450767,29390.3809530373,32492.1788775214,..
Aruba,ABW,"Population, total",SP.POP.TOTL,106442,106585,106537,106445,106277
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1494773366351.99,1489770563790.11,1521231998735.21,1586172577281.96,1634027215240.65
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,59000.7354442453,58082.4265799182,59225.5245403582,60972.8703431498,61340.7104848018
Australia,AUS,"Population, total",SP.POP.TOTL,25334826,25649248,25685412,26014399,26638544
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,413949540159.265,386492302608.55,402871331324.597,422235060667.714,418735512774.007
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,46616.3591743242,43343.9718951136,44984.4197366909,46697.8565193913,45851.7248755344
Austria,AUT,"Population, total",SP.POP.TOTL,8879920,8916864,8955797,9041851,9132383
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,53614408373.9591,51308988759.0274,54190732985.9123,56745718946.4579,57383526259.1424
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5348.45318851823,5083.56025445721,5345.43986445831,5595.25578671563,5674.48347713732
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283,10093121,10137750,10141756,10112555
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12030228260.9362,9452936752.71722,10908986680.2055,12085195064.0679,12404130127.1916
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29736.7942241419,23256.116064165,26743.8740303048,29477.2358532721,30061.65465132
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557,406471,407906,409984,412623
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,34941226710.0387,33318333440.6465,34181414161.6768,35853398106.1315,36743087753.0166
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23384.7592873445,22550.9526363305,23359.6882052648,24353.0732609115,24734.3420692952
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188,1477469,1463265,1472233,1485509
